espnID,playerName,SEASON,WAR,BB,BLSV,CG,ER,ERA,GP,GS,H,HLD,HR,IP,L,R,SHO,SO,SV,TEAM,W,WHIP
6341,Justin Verlander,2005,-0.2,5,0,0,9,7.15,2,2,15,0,1,11.1,2,9,0,7,0,DET,0,1.76
6341,Justin Verlander,2006,3.8,60,0,1,75,3.63,30,30,187,0,21,186.0,9,78,1,124,0,DET,17,1.33
6341,Justin Verlander,2007,3.9,67,0,1,82,3.66,32,32,181,0,20,201.2,6,88,1,183,0,DET,18,1.23
6341,Justin Verlander,2008,1.5,87,0,1,108,4.84,33,33,195,0,18,201.0,17,119,0,163,0,DET,11,1.40
6341,Justin Verlander,2009,5.2,63,0,3,92,3.45,35,35,219,0,20,240.0,9,99,1,269,0,DET,19,1.18
6341,Justin Verlander,2010,4.1,71,0,4,84,3.37,33,33,190,0,14,224.1,9,89,0,219,0,DET,18,1.16
6341,Justin Verlander,2011,8.3,57,0,4,67,2.40,34,34,174,0,24,251.0,5,73,2,250,0,DET,24,0.92
6341,Justin Verlander,2012,7.5,60,0,6,70,2.64,33,33,192,0,19,238.1,8,81,1,239,0,DET,17,1.06
6341,Justin Verlander,2013,4.6,75,0,0,84,3.46,34,34,212,0,19,218.1,12,94,0,217,0,DET,13,1.31
6341,Justin Verlander,2014,1.1,65,0,0,104,4.54,32,32,223,0,18,206.0,12,114,0,159,0,DET,15,1.40
6341,Justin Verlander,2015,2.2,32,0,1,50,3.38,20,20,113,0,13,133.1,8,56,1,113,0,DET,5,1.09
6341,Justin Verlander,2016,6.6,57,0,2,77,3.04,34,34,171,0,30,227.2,9,81,0,254,0,DET,16,1.00
6341,Justin Verlander,2017,4.5,67,0,0,73,3.82,28,28,153,0,23,172.0,8,76,0,176,0,DET,10,1.28
6341,Justin Verlander,2017,1.8,5,0,0,4,1.06,5,5,17,0,4,34.0,0,4,0,43,0,HOU,5,0.65
6341,Justin Verlander,2017,6.4,72,0,0,77,3.36,33,33,170,0,27,206.0,8,80,0,219,0,Total,15,1.17
6341,Justin Verlander,2018,6.2,37,0,1,60,2.52,34,34,156,0,28,214.0,9,63,1,290,0,HOU,16,0.90
6341,Justin Verlander,2019,--,42,0,2,64,2.58,34,34,137,0,36,223.0,6,66,1,300,0,HOU,21,0.80
