,player,WAR,OFF,DEF,WAA,TRPG,ORPG,RAA,WAAWP,Season,First Name,Last Name,mlb_name,espn_id,espn_name,espn_pos
0,Cody Bellinger,9,6.6,1.9,7,5,4.7,72.9,0.5,19,Cody,Bellinger,Cody Bellinger,33912,Cody Bellinger,CF
1,Alex Bregman,8.4,7.7,1.2,6.1,5.3,5,62,0.5,19,Alex,Bregman,Alex Bregman,34886,Alex Bregman,3B
2,Mike Trout,8.3,8.3,0.3,6.3,5.5,5,65.7,0.5,19,Mike,Trout,Mike Trout,30836,Mike Trout,CF
3,Marcus Semien,8.1,7.5,1.5,5.8,5.3,5,58.5,0.5,19,Marcus,Semien,Marcus Semien,32146,Marcus Semien,SS
4,Justin Verlander,7.8,0,0,5.8,5,3.4,56.6,0.7,19,Justin,Verlander,Justin Verlander,6341,Justin Verlander,SP
5,Mike Minor,7.8,0,0,5.9,5,3.2,57,0.7,19,Mike,Minor,Mike Minor,30624,Mike Minor,SP
6,Lance Lynn,7.6,0,0,5.7,5,3.3,55.6,0.7,19,Lance,Lynn,Lance Lynn,30820,Lance Lynn,SP
7,Jacob deGrom,7.3,0,0,5.6,4.7,3.1,50.2,0.7,19,Jacob,deGrom,Jacob deGrom,32796,Jacob deGrom,SP
8,Christian Yelich,7.1,7.3,-0.7,5.4,5.2,4.7,57.7,0.5,19,Christian,Yelich,Christian Yelich,31283,Christian Yelich,RF
9,Ketel Marte,6.9,6.6,0.9,5,5.1,4.7,53.9,0.5,19,Ketel,Marte,Ketel Marte,32512,Ketel Marte,2B
10,Gerrit Cole,6.9,0,0,5,5,3.5,49.2,0.7,19,Gerrit,Cole,Gerrit Cole,32081,Gerrit Cole,SP
11,Mookie Betts,6.8,5.2,1.1,4.7,5.2,5,45.9,0.5,19,Mookie,Betts,Mookie Betts,33039,Mookie Betts,RF
12,Matt Chapman,6.7,4.8,2.3,4.4,5.1,5,43.4,0.5,19,Matt,Chapman,Matt Chapman,33857,Matt Chapman,3B
13,Trevor Story,6.4,4.9,2.4,4.5,4.9,4.7,48,0.5,19,Trevor,Story,Trevor Story,32150,Trevor Story,SS
14,Anthony Rendon,6.3,6.4,0.3,4.4,5,4.7,47.4,0.5,19,Anthony,Rendon,Anthony Rendon,32098,Anthony Rendon,3B
